Question,related_sentences
Which kingdoms were the first ones to use Kannada in administration evidenced by the Halmidi inscription?,"The Kadamba Dynasty, founded by Mayurasharma, had its capital at Banavasi; the Western Ganga Dynasty was formed with Talakad as its capital. These were also the first kingdoms to use Kannada in administration, as evidenced by the Halmidi inscription and a fifth-century copper coin discovered at Banavasi. These dynasties were followed by imperial Kannada empires such as the Badami Chalukyas, the Rashtrakuta Empire of Manyakheta and the Western Chalukya Empire, which ruled over large parts of the Deccan and had their capitals in what is now Karnataka."
Is the state whose capital is Bangalore originally known as the State of Mysore?,"Originally known as the State of Mysore , it was renamed Karnataka in 1973. Its capital and largest city is Bangalore. Karnataka is bordered by the Arabian Sea to the west, Goa to the northwest, Maharashtra to the north, Telangana to the northeast, Andhra Pradesh to the east, Tamil Nadu to the southeast, and Kerala to the southwest."
Is Karnataka the largest Indian state by  population?,"It is the sixth-largest Indian state by area. With 61,130,704 inhabitants at the 2011 census, Karnataka is the eighth-largest state by population, comprising 31 districts."
Do more people speak Kannada than Tamil in Karnataka?,"Language Kannada is the official language of the state of Karnataka, as the native language of 66.46% of its population as of 2011 and is one of the classical languages of India. Urdu is the second largest language, spoken by 10.83% of the population, and is the language of Muslims outside the coastal region. Telugu (5.84%) is a major language in areas bordering Andhra Pradesh and Karnataka as well as Bangalore, while Tamil (3.45%) is a major language of Bangalore and in the Kolar district."
How many Indian sister states are there?,"Karnataka is bordered by the Arabian Sea to the west, Goa to the northwest, Maharashtra to the north, Telangana to the northeast, Andhra Pradesh to the east, Tamil Nadu to the southeast, and Kerala to the southwest. It is the only southern state to have land borders with all of the other four southern Indian sister states. The state covers an area of 191,791 square kilometres (74,051 sq mi), or 5.83 percent of the total geographical area of India."
Was the first private radio station in India taken over by AIR?,"In 1935, Aakashvani, the first private radio station in India, was started by Prof. M.V. Gopalaswamy in Mysore. The popular radio station was taken over by the local municipality and later by All India Radio (AIR) and moved to Bangalore in 1955. Later in 1957, AIR adopted the original name of the radio station, Aakashavani as its own."
What is the season after the monsoon season?,"Climate Karnataka experiences four seasons. The winter in January and February is followed by summer between March and May, the monsoon season between June and September and the post-monsoon season from October till December. Meteorologically, Karnataka is divided into three zones – coastal, north interior and south interior. Of these, the coastal zone receives the heaviest rainfall with an average rainfall of about 3,638.5 mm (143 in) per annum, far in excess of the state average of 1,139 mm (45 in)."
Does Karnataka contribute more than half of India's national GDP?,"Karnataka's contribution to India's GDP in the year 2014–15 was 7.54%. With GDP growth of 17.59% and per capita GDP growth of 16.04%, Karnataka is on the 6th position among all states and union territories."
Does Karnataka experience autumn?,"Climate Karnataka experiences four seasons. The winter in January and February is followed by summer between March and May, the monsoon season between June and September and the post-monsoon season from October till December. Meteorologically, Karnataka is divided into three zones – coastal, north interior and south interior."
Who wrote the state anthem for Karnataka?,"Kuvempu, the renowned Kannada poet and writer who wrote Jaya Bharata Jananiya Tanujate, the state anthem of Karnatakawas the first recipient of the Karnataka Ratna, the highest civilian award bestowed by the Government of Karnataka. Contemporary Kannada literature has received considerable acknowledgement in the arena of Indian literature, with eight Kannada writers winning India's highest literary honour, the Jnanpith award."
Is Udupi Sri Krishna Matha a place of religious importance?,"In addition, Karnataka is home to several places of religious importance. Several Hindu temples including the famous Udupi Sri Krishna Matha, the Marikamba Temple at Sirsi, the Kollur Mookambika Temple, the Sri Manjunatha Temple at Dharmasthala, Kukke Subramanya Temple, Janardhana and Mahakali Temple at Ambalpadi, Sharadamba Temple at Shringeri attract pilgrims from all over India."
Is air transport in India good?,"Transport Air transport in Karnataka, as in the rest of the country, is still a fledgling but fast expanding sector."
Is the state whose capital is Bangalore in southwest India?,"Karnataka (; ISO: Karnāṭaka, Kannada pronunciation: [kɐˈɾnäːʈɐkɐ], also known as Karunāḍu) is a state in the southwestern region of India. Its capital and largest city is Bangalore. Karnataka is bordered by the Arabian Sea to the west, Goa to the northwest, Maharashtra to the north, Telangana to the northeast, Andhra Pradesh to the east, Tamil Nadu to the southeast, and Kerala to the southwest."
Is the percent of forested area in Karnataka higher than the all-India average?,"The percentage of forested area is slightly less than the all-India average of about 23%, and significantly less than the 33% prescribed in the National Forest Policy. Climate Karnataka experiences four seasons."
Does majority of the people in Karnataka speak Kannada?,"Ugadi (Kannada New Year), Makara Sankranti (the harvest festival), Ganesh Chaturthi, Gowri Habba, Ram Navami, Nagapanchami, Basava Jayanthi, Deepavali, and Balipadyami are the other major festivals of Karnataka. Language Kannada is the official language of the state of Karnataka, as the native language of 66.46% of its population as of 2011 and is one of the classical languages of India. Urdu is the second largest language, spoken by 10.83% of the population, and is the language of Muslims outside the coastal region."
Which Indian state include the Basavana Bagewadi?,"Several Hindu temples including the famous Udupi Sri Krishna Matha, the Marikamba Temple at Sirsi, the Kollur Mookambika Temple, the Sri Manjunatha Temple at Dharmasthala, Kukke Subramanya Temple, Janardhana and Mahakali Temple at Ambalpadi, Sharadamba Temple at Shringeri attract pilgrims from all over India. Most of the holy sites of Lingayatism, like Kudalasangama and Basavana Bagewadi, are found in northern parts of the state. Shravanabelagola, Mudabidri and Karkala are famous for Jain history and monuments."
